#           X                Y                 Ex                Ey                Ez                E 
      0.1741000000      8.8791000000     -0.1784863690     -0.0151614977      0.0000000000      0.1791291571
      0.1741000000      9.0532000000     -0.1781162067     -0.0303902002      0.0000000000      0.1806901971
      0.1741000000      9.2273000000     -0.1775005397     -0.0457542884      0.0000000000      0.1833027454
      0.1741000000      9.4014000000     -0.1766412277     -0.0613239120      0.0000000000      0.1869832760
      0.1741000000      9.5755000000     -0.1755407830     -0.0771722196      0.0000000000      0.1917553597
      0.1741000000      9.7496000000     -0.1742022787     -0.0933764433      0.0000000000      0.1976501810
      0.1741000000      9.9237000000     -0.1726292317     -0.1100190623      0.0000000000      0.2047072195
      0.1741000000     10.0978000000     -0.1708254582     -0.1271890708      0.0000000000      0.2129751086
      0.1741000000     10.2719000000     -0.1687949025     -0.1449833799      0.0000000000      0.2225126952
      0.1741000000     10.4460000000     -0.1665414364     -0.1635083922      0.0000000000      0.2333903262
      0.1741000000     10.6201000000     -0.1640686288     -0.1828817921      0.0000000000      0.2456914016
      0.1741000000     10.7942000000     -0.1613794793     -0.2032346067      0.0000000000      0.2595142418
      0.1741000000     10.9683000000     -0.1584761133     -0.2247136057      0.0000000000      0.2749743316
      0.1741000000     11.1424000000     -0.1553594301     -0.2474841234     -0.0000000000      0.2922070222
      0.1741000000     11.3165000000     -0.1520286931     -0.2717334093      0.0000000000      0.3113707907
      0.1741000000     11.4906000000     -0.1484810497     -0.2976746393      0.0000000000      0.3326511882
      0.1741000000     11.6647000000     -0.1447109594     -0.3255517577      0.0000000000      0.3562656434
      0.1741000000     11.8388000000     -0.1407095064     -0.3556453659      0.0000000000      0.3824693340
      0.1741000000     12.0129000000     -0.1364635590     -0.3882799382      0.0000000000      0.4115624052
      0.1741000000     12.1870000000     -0.1319547283     -0.4238327283      0.0000000000      0.4438988983
      0.1741000000     12.3611000000     -0.1271580603     -0.4627448426      0.0000000000      0.4798978658
      0.1741000000     12.5352000000     -0.1220403695     -0.5055351137      0.0000000000      0.5200573073
      0.1741000000     12.7093000000     -0.1165580890     -0.5528176161      0.0000000000      0.5649717734
      0.1741000000     12.8834000000     -0.1106544602     -0.6053239636      0.0000000000      0.6153547842
      0.1741000000     13.0575000000     -0.1042558118     -0.6639319399      0.0000000000      0.6720676269
      0.1741000000     13.2316000000     -0.0972665725     -0.7297026038      0.0000000000      0.7361566926
      0.1741000000     13.4057000000     -0.0895624965     -0.8039288566      0.0000000000      0.8089023719
      0.1741000000     13.5798000000     -0.0809813411     -0.8881996969      0.0000000000      0.8918837812
      0.1741000000     13.7539000000     -0.0713098530     -0.9844862198      0.0000000000      0.9870654548
      0.1741000000     13.9280000000     -0.0602653301     -1.0952581785      0.0000000000      1.0969149409
      0.1741000000     14.1021000000     -0.0474690690     -1.2236441549      0.0000000000      1.2245645473
      0.1741000000     14.2762000000     -0.0324074495     -1.3736549913      0.0000000000      1.3740372185
      0.1741000000     14.4503000000     -0.0143737863     -1.5505006704      0.0000000000      1.5505672944
      0.1741000000     14.6244000000      0.0076204284     -1.7610480227      0.0000000000      1.7610645102
      0.1741000000     14.7985000000      0.0349842559     -2.0144954075      0.0000000000      2.0147991575
      0.1741000000     14.9726000000      0.0697699783     -2.3233900290      0.0000000000      2.3244373677
      0.1741000000     15.1467000000      0.1150413302     -2.7052014678     -0.0000000000      2.7076464852
      0.1741000000     15.3208000000      0.1755034797     -3.1848266830      0.0000000000      3.1896586765
      0.1741000000     15.4949000000      0.2586235593     -3.7987110344      0.0000000000      3.8075046511
      0.1741000000     15.6690000000      0.3767154749     -4.6018887550      0.0000000000      4.6172821727
      0.1741000000     15.8431000000      0.5510286768     -5.6805500701      0.0000000000      5.7072131292
      0.1741000000     16.0172000000      0.8202845965     -7.1756568736      0.0000000000      7.2223900744
      0.1741000000     16.1913000000      1.2598947492     -9.3301112763      0.0000000000      9.4147921489
      0.1741000000     16.3654000000      2.0294285151    -12.5901134744      0.0000000000     12.7526286465
      0.1741000000     16.5395000000      3.5043479118    -17.8430477360      0.0000000000     18.1839161568
      0.1741000000     16.7136000000      6.7009332070    -27.0377229737      0.0000000000     27.8557169975
      0.1741000000     16.8877000000     14.9484229554    -44.9967027825      0.0000000000     47.4147509764
      0.1741000000     17.0618000000     42.4189374022    -84.9113618599      0.0000000000     94.9173620748
      0.1741000000     17.2359000000    167.8912144139   -167.8912144139      0.0000000000    237.4340324275
      0.1741000000     17.4100000000    474.9984338396      0.0691731259      0.0000000000    474.9984388763
      0.3482000000      0.0000000000    118.6976623005     -0.0712804775      0.0000000000    118.6976837032
      0.3482000000      0.1741000000     84.9113618599     42.4189374022      0.0000000000     94.9173620748
      0.3482000000      0.3482000000     41.9170365040     41.9170365040      0.0000000000     59.2796415184
      0.3482000000      0.5223000000     20.1951965941     30.3317979336      0.0000000000     36.4398673345
      0.3482000000      0.6964000000     10.5450131480     21.1703471239      0.0000000000     23.6512346324
      0.3482000000      0.8705000000      6.0038754838     15.1336991253      0.0000000000     16.2811354039
      0.3482000000      1.0446000000      3.6732893601     11.1899982633      0.0000000000     11.7774834262
      0.3482000000      1.2187000000      2.3776453794      8.5404980807      0.0000000000      8.8652865163
